"","UserId","last_purchase","recency","frequency","momentary","one_time","avg_per_purchase","r","f","m","groupRFM","score","segment_recency","segment_frequency","segment_momentary"
"1","374850",2018-02-13,321.770833333333,33,22102,"More than once",669.745454545455,5,5,1,551,11,"NA","A. Stellar customer","Best"
"2","288687",2018-02-12,322.770833333333,1,40710851,"One-timer",40710850.56,5,1,5,515,11,"Inactive","C. Returing customer","Best"
"3","259350",2018-04-16,259.770833333333,1,1470,"One-timer",1470,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"4","259833",2018-04-15,260.770833333333,1,1264,"One-timer",1264.2,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"5","259917",2018-04-11,264.770833333333,2,5530,"More than once",2764.92,5,1,1,511,7,"NA","B. Regular","Best"
"6","260106",2018-03-20,286.770833333333,2,1551,"More than once",775.68,5,1,1,511,7,"NA","B. Regular","Top 75%"
"7","260442",2018-04-03,272.770833333333,1,967,"One-timer",966.6,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"8","261261",2018-02-19,315.770833333333,1,566,"One-timer",565.5,5,1,1,511,7,"Inactive","C. Returing customer","NA"
"9","262269",2018-03-21,285.770833333333,1,1386,"One-timer",1385.82,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"10","262521",2018-03-21,285.770833333333,1,6779,"One-timer",6779.07,5,1,1,511,7,"Inactive","C. Returing customer","Best"
"11","262815",2018-03-04,302.770833333333,1,976,"One-timer",976.38,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"12","263571",2018-02-28,306.770833333333,1,847,"One-timer",846.9,5,1,1,511,7,"NA","C. Returing customer","Top 75%"
"13","263739",2018-04-16,259.770833333333,2,2812,"More than once",1406.13,5,1,1,511,7,"NA","B. Regular","Top 50%"
"14","264054",2018-04-11,264.770833333333,1,713,"One-timer",713.04,5,1,1,511,7,"Inactive","C. Returing customer","NA"
"15","264411",2018-04-09,266.770833333333,1,1372,"One-timer",1372.5,5,1,1,511,7,"Inactive","C. Returing customer","Top 75%"
