"","UserId","last_purchase","recency","frequency","momentary","one_time","avg_per_purchase","r","f","m","groupRFM","score","segment_recency"
"1","374850",2018-02-13,321.770833333333,34,44688.84,"More than once",1314.37764705882,5,5,1,551,11,"Inactive"
"2","288687",2018-02-12,322.770833333333,1,81421701.12,"One-timer",81421701.12,5,1,5,515,11,"NA"
"3","259266",2018-04-01,274.770833333333,1,641217.6,"One-timer",641217.6,5,1,1,511,7,"Inactive"
"4","259350",2018-04-16,259.770833333333,1,2443.2,"One-timer",2443.2,5,1,1,511,7,"NA"
"5","259833",2018-04-15,260.770833333333,1,2695.68,"One-timer",2695.68,5,1,1,511,7,"NA"
"6","259917",2018-04-11,264.770833333333,2,11604.84,"More than once",5802.42,5,1,1,511,7,"NA"
"7","260106",2018-03-20,286.770833333333,2,2978.16,"More than once",1489.08,5,1,1,511,7,"NA"
"8","260442",2018-04-03,272.770833333333,1,1624.32,"One-timer",1624.32,5,1,1,511,7,"NA"
"9","261261",2018-02-19,315.770833333333,1,1029,"One-timer",1029,5,1,1,511,7,"Inactive"
"10","262269",2018-03-21,285.770833333333,1,2394,"One-timer",2394,5,1,1,511,7,"NA"
"11","262521",2018-03-21,285.770833333333,1,13825.8,"One-timer",13825.8,5,1,1,511,7,"Inactive"
"12","262815",2018-03-04,302.770833333333,1,2092.44,"One-timer",2092.44,5,1,1,511,7,"NA"
"13","263571",2018-02-28,306.770833333333,1,1395,"One-timer",1395,5,1,1,511,7,"NA"
"14","263739",2018-04-16,259.770833333333,2,4127.64,"More than once",2063.82,5,1,1,511,7,"NA"
"15","264054",2018-04-11,264.770833333333,1,1513.2,"One-timer",1513.2,5,1,1,511,7,"Inactive"
"16","264411",2018-04-09,266.770833333333,1,2953.08,"One-timer",2953.08,5,1,1,511,7,"Inactive"
"17","265671",2018-03-23,283.770833333333,1,816.84,"One-timer",816.84,5,1,1,511,7,"NA"
"18","265692",2018-03-26,280.770833333333,1,6075.36,"One-timer",6075.36,5,1,1,511,7,"NA"
"19","265965",2018-04-02,273.770833333333,1,373.68,"One-timer",373.68,5,1,1,511,7,"NA"
"20","266112",2018-03-28,278.770833333333,1,1873.8,"One-timer",1873.8,5,1,1,511,7,"Inactive"
"21","266406",2018-02-14,320.770833333333,1,340.08,"One-timer",340.08,5,1,1,511,7,"NA"
"22","267225",2018-02-14,320.770833333333,1,2954.1,"One-timer",2954.1,5,1,1,511,7,"NA"
"23","267414",2018-03-05,301.770833333333,1,777.6,"One-timer",777.6,5,1,1,511,7,"NA"
"24","267435",2018-04-11,264.770833333333,2,5095.08,"More than once",2547.54,5,1,1,511,7,"NA"
"25","267456",2018-03-25,281.770833333333,1,777.6,"One-timer",777.6,5,1,1,511,7,"Inactive"
"26","267498",2018-02-13,321.770833333333,1,702,"One-timer",702,5,1,1,511,7,"Inactive"
"27","268044",2018-04-10,265.770833333333,1,13928.94,"One-timer",13928.94,5,1,1,511,7,"NA"
"28","268485",2018-02-21,313.770833333333,1,2123.64,"One-timer",2123.64,5,1,1,511,7,"NA"
"29","268611",2018-02-12,322.770833333333,1,1474.56,"One-timer",1474.56,5,1,1,511,7,"Inactive"
"30","268653",2018-03-23,283.770833333333,2,3828.96,"More than once",1914.48,5,1,1,511,7,"NA"
"31","268737",2018-02-20,314.770833333333,1,1791.12,"One-timer",1791.12,5,1,1,511,7,"NA"
"32","269409",2018-03-21,285.770833333333,2,1830.6,"More than once",915.3,5,1,1,511,7,"NA"
"33","269955",2018-02-13,321.770833333333,1,316.8,"One-timer",316.8,5,1,1,511,7,"NA"
"34","270312",2018-03-31,275.770833333333,2,4875.06,"More than once",2437.53,5,1,1,511,7,"NA"
"35","271509",2018-04-15,260.770833333333,1,977.4,"One-timer",977.4,5,1,1,511,7,"NA"
"36","272307",2018-02-27,307.770833333333,2,13700.4,"More than once",6850.2,5,1,1,511,7,"NA"
"37","273042",2018-04-08,267.770833333333,1,1003.68,"One-timer",1003.68,5,1,1,511,7,"NA"
"38","273168",2018-04-03,272.770833333333,1,1788.54,"One-timer",1788.54,5,1,1,511,7,"NA"
"39","273231",2018-02-13,321.770833333333,1,419.16,"One-timer",419.16,5,1,1,511,7,"NA"
"40","273693",2018-02-28,306.770833333333,1,1581.72,"One-timer",1581.72,5,1,1,511,7,"NA"
"41","274365",2018-02-12,322.770833333333,1,1665.96,"One-timer",1665.96,5,1,1,511,7,"NA"
"42","275268",2018-02-13,321.770833333333,1,2285.4,"One-timer",2285.4,5,1,1,511,7,"Inactive"
"43","276024",2018-03-25,281.770833333333,1,919.68,"One-timer",919.68,5,1,1,511,7,"NA"
"44","276381",2018-04-13,262.770833333333,1,934.62,"One-timer",934.62,5,1,1,511,7,"Inactive"
"45","276927",2018-03-20,286.770833333333,1,1957.56,"One-timer",1957.56,5,1,1,511,7,"NA"
"46","278670",2018-02-19,315.770833333333,1,4896,"One-timer",4896,5,1,1,511,7,"NA"
"47","278964",2018-03-27,279.770833333333,1,1516.2,"One-timer",1516.2,5,1,1,511,7,"NA"
"48","279195",2018-02-26,308.770833333333,1,1667.88,"One-timer",1667.88,5,1,1,511,7,"NA"
"49","279384",2018-03-06,300.770833333333,1,2188.2,"One-timer",2188.2,5,1,1,511,7,"NA"
"50","279888",2018-04-10,265.770833333333,1,10764.48,"One-timer",10764.48,5,1,1,511,7,"NA"
"51","280749",2018-02-20,314.770833333333,1,2343.6,"One-timer",2343.6,5,1,1,511,7,"NA"
"52","280770",2018-02-14,320.770833333333,1,6144.96,"One-timer",6144.96,5,1,1,511,7,"NA"
"53","281085",2018-03-28,278.770833333333,1,4050.36,"One-timer",4050.36,5,1,1,511,7,"NA"
"54","283374",2018-04-15,260.770833333333,1,2456.52,"One-timer",2456.52,5,1,1,511,7,"NA"
"55","283626",2018-04-10,265.770833333333,2,3365.04,"More than once",1682.52,5,1,1,511,7,"NA"
"56","284571",2018-04-07,268.770833333333,1,760.68,"One-timer",760.68,5,1,1,511,7,"Inactive"
"57","284844",2018-03-03,303.770833333333,2,9148.68,"More than once",4574.34,5,1,1,511,7,"NA"
"58","285201",2018-04-17,258.770833333333,1,978.42,"One-timer",978.42,5,1,1,511,7,"NA"
"59","285600",2018-04-14,261.770833333333,1,1364.7,"One-timer",1364.7,5,1,1,511,7,"NA"
"60","285915",2018-04-08,267.770833333333,1,3355.56,"One-timer",3355.56,5,1,1,511,7,"Inactive"
"61","287763",2018-04-08,267.770833333333,1,824.4,"One-timer",824.4,5,1,1,511,7,"NA"
"62","289800",2018-04-17,258.770833333333,1,4421.28,"One-timer",4421.28,5,1,1,511,7,"NA"
"63","291039",2018-03-31,275.770833333333,1,1451.88,"One-timer",1451.88,5,1,1,511,7,"NA"
"64","291354",2018-02-27,307.770833333333,1,4350.36,"One-timer",4350.36,5,1,1,511,7,"Inactive"
"65","291858",2018-04-01,274.770833333333,1,1179.96,"One-timer",1179.96,5,1,1,511,7,"NA"
"66","292362",2018-03-06,300.770833333333,1,1324.32,"One-timer",1324.32,5,1,1,511,7,"NA"
"67","292908",2018-02-25,309.770833333333,1,846.72,"One-timer",846.72,5,1,1,511,7,"NA"
"68","295428",2018-04-06,269.770833333333,1,2204.4,"One-timer",2204.4,5,1,1,511,7,"Inactive"
"69","295722",2018-02-21,313.770833333333,1,1283.1,"One-timer",1283.1,5,1,1,511,7,"Inactive"
"70","295890",2018-04-02,273.770833333333,1,635.04,"One-timer",635.04,5,1,1,511,7,"NA"
"71","296730",2018-04-07,268.770833333333,1,3933,"One-timer",3933,5,1,1,511,7,"NA"
"72","296982",2018-02-12,322.770833333333,1,2148,"One-timer",2148,5,1,1,511,7,"NA"
"73","297885",2018-03-26,280.770833333333,1,1636.74,"One-timer",1636.74,5,1,1,511,7,"NA"
"74","298977",2018-02-12,322.770833333333,1,1334.76,"One-timer",1334.76,5,1,1,511,7,"NA"
"75","298998",2018-03-31,275.770833333333,1,1046.28,"One-timer",1046.28,5,1,1,511,7,"NA"
"76","299208",2018-04-08,267.770833333333,1,2423.52,"One-timer",2423.52,5,1,1,511,7,"NA"
"77","299670",2018-03-26,280.770833333333,1,3866.34,"One-timer",3866.34,5,1,1,511,7,"NA"
"78","301455",2018-02-20,314.770833333333,1,1360.68,"One-timer",1360.68,5,1,1,511,7,"NA"
"79","301728",2018-04-07,268.770833333333,1,1284.48,"One-timer",1284.48,5,1,1,511,7,"NA"
"80","301833",2018-02-27,307.770833333333,1,634.56,"One-timer",634.56,5,1,1,511,7,"NA"
"81","302631",2018-04-16,259.770833333333,1,8808.48,"One-timer",8808.48,5,1,1,511,7,"NA"
"82","302673",2018-02-23,311.770833333333,1,953.7,"One-timer",953.7,5,1,1,511,7,"NA"
"83","303177",2018-02-20,314.770833333333,1,524.16,"One-timer",524.16,5,1,1,511,7,"Inactive"
"84","303219",2018-04-07,268.770833333333,1,22051.68,"One-timer",22051.68,5,1,1,511,7,"Inactive"
